"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250"
"V114",0.0741079,0.0397006,0.0704107,0.142734,0.101227,1,0.272753,0.105227,0.0833251,0.233244,0.146301,0.186723,0.295336,1,0.154924,0.071813,0.114402,0.0768369,0.113372,0.140557,0.233324,0.198286,0.12855,0.0741079,0.120143,0.265245,0.187568,0.128948,1,0.120976,1,1,1,0.196288,0.0833251,0.0915489,0.167823,0.307034,0.0705206,0.0904915,0.0845306,0.135787,0.0381382,0.133574,0.201862,0.09709,1,0.0546543,0.0892377,0.109247,0.0652637,1,0.0896949,0.0684013,0.0943429,0.0976239,0.0877242,0.102295,0.0718574,0.109117,0.112206,0.0833251,0.0519941,0.0833251,0.0699844,0.0855234,0.152975,0.141007,0.138109,0.0793909,0.141766,0.346148,1,0.119935,0.0498547,0.0363315,0.161227,0.159814,0.122261,0.0746413,0.0904915,0.0960991,1,0.134498,0.232821,0.150031,0.153725,0.154727,1,0.170299,0.0762102,0.147318,0.11644,0.156716,0.190255,0.0406844,0.146496,0.189295,0.126668,0.22946,0.179041,0.230021,0.0988186,0.198361,0.155116,0.16592,1,0.114402,1,0.0795866,0.103509,0.157525,0.229091,0.0934664,1,0.117905,0.0996883,0.126287,0.194028,0.170895,0.198738,0.0406844,0.06958,0.15669,0.092089,0.0490919,1,0.0745176,0.0408094,0.0724406,0.0735868,0.112655,0.0829765,0.136062,0.325929,0.155935,0.136933,0.102295,0.15941,1,0.0833251,0.0887761,0.109542,0.045773,0.139921,0.28358,0.0980949,0.110984,0.204846,0.0760912,0.0833251,0.120976,0.0876464,0.0862399,0.0519941,0.0918337,1,0.146053,0.092612,0.0876947,0.0704107,0.252737,0.0833251,0.148033,0.0614217,0.183483,0.102667,0.1939,1,0.100653,0.0936951,0.176738,0.0546543,0.0704107,0.099297,0.19053,1,0.12855,0.246561,0.261362,0.235766,0.303863,0.210314,0.0732685,0.127411,0.120997,0.163368,0.102667,0.068828,0.159168,0.124807,0.174649,0.0745176,0.143299,0.0779214,0.147463,0.101227,1,1,0.0687583,0.169528,0.0421147,0.10739,0.209139,0.277067,0.120745,0.07576,0.071813,0.113192,0.133482,0.140802,0.0818269,0.155935,0.139302,0.0519941,0.107163,0.103089,0.093161,0.121681,0.0762102,0.0704107,0.125591,0.093161,1,0.0951725,0.0833251,1,0.173724,1,0.089152,0.217932,0.153262,0.0348324,0.190148,0.0355132,1,0.198526,0.0957478,0.0704798,0.19307,0.145713,0.268795,0.0813146,0.12181,1,0.114402,0.227777,0.0704107,0.112422,0.168242
"V115",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"V116",0.127296,0.126298,0.101,0.163659,0.113429,1,0.2858,0.137844,0.138926,0.233884,0.139284,0.17881,0.253938,1,0.191621,0.146558,0.149668,0.1329,0.128878,0.178471,0.25089,0.181969,0.150359,0.127296,0.149764,0.225536,0.145009,0.159699,1,0.141913,1,1,1,0.190452,0.138926,0.129689,0.182741,0.27856,0.101467,0.127167,0.11809,0.172722,0.0712145,0.175767,0.217441,0.121929,1,0.108149,0.123326,0.139488,0.12417,1,0.157861,0.0701903,0.122552,0.129396,0.0868538,0.161025,0.0938793,0.122438,0.152407,0.138926,0.110809,0.138926,0.0880003,0.0871306,0.160549,0.15505,0.149107,0.126595,0.156241,0.307143,1,0.129328,0.0653178,0.0735,0.153313,0.16483,0.143719,0.145789,0.127167,0.153585,1,0.150646,0.246846,0.152415,0.182252,0.192854,1,0.205299,0.0976286,0.143426,0.14161,0.192302,0.2,0.0731608,0.171941,0.125635,0.139152,0.181167,0.20516,0.243701,0.122065,0.220127,0.179288,0.178653,1,0.149668,1,0.0902853,0.13311,0.114821,0.196324,0.122026,1,0.0539873,0.130115,0.148817,0.206183,0.203802,0.21141,0.0772493,0.0956852,0.184684,0.131037,0.0644137,1,0.0912191,0.117334,0.0929141,0.0977002,0.150086,0.0883105,0.164042,0.293156,0.154962,0.168413,0.161025,0.15737,1,0.138926,0.10407,0.142112,0.0641121,0.132047,0.22942,0.0976411,0.123784,0.194056,0.150431,0.138926,0.141913,0.122355,0.130219,0.110809,0.128761,1,0.164777,0.127636,0.0785448,0.101,0.265291,0.138926,0.197539,0.119114,0.119761,0.143455,0.184304,1,0.118976,0.129125,0.18321,0.108149,0.101,0.12665,0.201134,1,0.150359,0.200122,0.2231,0.199212,0.255693,0.233647,0.104388,0.165199,0.124507,0.196139,0.143455,0.0991465,0.176495,0.144308,0.166879,0.0912191,0.147724,0.0952242,0.159252,0.113429,1,1,0.118636,0.177517,0.133429,0.139349,0.2125,0.229598,0.168605,0.0857246,0.146558,0.123298,0.156949,0.162579,0.102715,0.154962,0.151914,0.110809,0.12955,0.120738,0.148206,0.133596,0.0976286,0.101,0.135352,0.148206,1,0.121239,0.138926,1,0.130198,1,0.0832477,0.230837,0.165356,0.0729832,0.215401,0.0738005,1,0.191816,0.120335,0.0895662,0.239932,0.154901,0.235618,0.110407,0.139626,1,0.149668,0.198155,0.101,0.115055,0.180032
"V117",0.137953,0.0910221,0.115476,0.120771,0.0942286,1,0.208606,0.107834,0.145893,0.205364,0.126558,0.181278,0.246598,1,0.153971,0.104453,0.112224,0.097049,0.105155,0.167044,0.218979,0.174712,0.113309,0.137953,0.0529438,0.257706,0.183991,0.115985,1,0.100655,1,1,1,0.183203,0.145893,0.156919,0.163919,0.301202,0.135143,0.0866829,0.155791,0.0800293,0.0780369,0.0801641,0.171924,0.0766808,1,0.12475,0.0877574,0.0937032,0.127831,1,0.176931,0.0911076,0.0796375,0.0869952,0.173165,0.115609,0.111338,0.107408,0.110607,0.145893,0.126419,0.145893,0.166647,0.118765,0.147279,0.126247,0.122293,0.0899281,0.132825,0.307608,1,0.110461,0.0764063,0.0866553,0.15028,0.157635,0.114695,0.110115,0.0866829,0.0643564,1,0.11996,0.17903,0.120804,0.146152,0.100591,1,0.146907,0.11369,0.0819759,0.106596,0.147007,0.174564,0.103358,0.148209,0.180676,0.115783,0.229563,0.170077,0.169679,0.0750138,0.194269,0.136035,0.151523,1,0.112224,1,0.10165,0.0935115,0.149608,0.233913,0.0805681,1,0.155541,0.000847149,0.0959585,0.156647,0.157404,0.137899,0.0890078,0.0641384,0.152782,0.0982244,0.0773007,1,0.109669,0.120739,0.0617998,0.0608948,0.111363,0.0702845,0.114339,0.253413,0.131324,0.130308,0.115609,0.150335,1,0.145893,0.0787005,0.0999569,0.0914108,0.163743,0.223745,0.083819,0.10532,0.1495,0.117083,0.145893,0.100655,0.0759924,0.066469,0.126419,0.0850137,1,0.150203,0.0777474,0.113201,0.115476,0.215442,0.145893,0.153716,0.0823843,0.167246,0.104356,0.157199,1,0.0800646,0.0950137,0.17806,0.12475,0.115476,0.0953466,0.128868,1,0.113309,0.23427,0.266152,0.230108,0.249669,0.200297,0.112066,0.0680398,0.126233,0.152383,0.104356,0.116771,0.152134,0.0489993,0.155179,0.109669,0.119531,0.106422,0.136296,0.0942286,1,1,0.120143,0.158204,0.130388,0.106114,0.177363,0.266239,0.147574,0.0785029,0.104453,0.103646,0.132302,0.106938,0.071421,0.131324,0.133753,0.126419,0.108279,0.0949008,0.107566,0.104112,0.11369,0.115476,0.118519,0.107566,1,0.0174074,0.145893,1,0.163106,1,0.112954,0.205558,0.14443,0.0826974,0.156875,0.081533,1,0.183971,0.07835,0.128835,0.159257,0.135263,0.283685,0.109964,0.129131,1,0.112224,0.242448,0.115476,0.135211,0.153233
"V118",0.0950026,0.118061,0.0678401,0.0487373,0.0511022,1,0.248933,0.0707867,0.102942,0.151862,0.156497,0.155907,0.311043,1,0.139287,0.101192,0.035806,0.0560059,0.0776103,0.185089,0.231954,0.097605,0.0244025,0.0950026,0.093601,0.265403,0.190765,0.0991677,1,0.00801022,1,1,1,0.151302,0.102942,0.124834,0.154486,0.285449,0.0901971,0.0441569,0.163883,0.105343,0.10518,0.106388,0.178985,0.0343415,1,0.0792547,0.0740275,0.100808,0.121003,1,0.177512,0.120826,0.100798,0.102879,0.191368,0.0447473,0.0626684,0.0897555,0.0985773,0.102942,0.0813137,0.102942,0.186865,0.0697575,0.133615,0.0722208,0.136431,0.0825322,0.115999,0.323957,1,0.109603,0.0950847,0.109094,0.136886,0.162367,0.121775,0.101708,0.0441569,0.106109,1,0.112194,0.187069,0.091151,0.141472,0.129305,1,0.2126,0.0655702,0.127327,0.104562,0.194766,0.183915,0.127796,0.161776,0.193426,0.0958334,0.206561,0.151073,0.183194,0.0335746,0.194542,0.0555722,0.156662,1,0.035806,1,0.059837,0.0870934,0.167405,0.190708,0.0997489,1,0.179423,0.102095,0.00896548,0.161073,0.069117,0.161211,0.111996,0.0867108,0.127458,0.0723276,0.0961879,1,0.0606095,0.145294,0.0839761,0.0877467,0.0155055,0.0971364,0.0577775,0.328317,0.0685859,0.138002,0.0447473,0.14488,1,0.102942,0.106715,0.0177135,0.10988,0.18838,0.285577,0.0948382,0.0924448,0.188853,0.110365,0.102942,0.00801022,0.107515,0.126856,0.0813137,0.0439581,1,0.127373,0.0987328,0.0696275,0.0678401,0.222633,0.102942,0.172732,0.106296,0.197465,0.0260494,0.179718,1,0.068394,0.088919,0.117769,0.0792547,0.0678401,0.0344821,0.151249,1,0.0244025,0.227807,0.233748,0.231658,0.290052,0.202894,0.0670563,0.1189,0.140858,0.0632776,0.0260494,0.0694371,0.168344,0.0975516,0.104764,0.0606095,0.0362997,0.0566044,0.15463,0.0511022,1,1,0.138969,0.158948,0.153911,0.0708865,0.192673,0.257597,0.165578,0.102677,0.101192,0.0972573,0.173172,0.16858,0.0794662,0.0685859,0.112323,0.0813137,0.0969576,0.110421,0.0348258,0.13102,0.0655702,0.0678401,0.109254,0.0348258,1,0.098543,0.102942,1,0.151558,1,0.0706809,0.17485,0.128129,0.101734,0.18372,0.102817,1,0.179556,0.0345403,0.13912,0.196086,0.120697,0.259855,0.138366,0.12597,1,0.035806,0.245756,0.0678401,0.102323,0.130849
"V119",0.253545,0.192303,0.225153,0.206804,0.209067,1,0.114642,0.131326,0.259094,0.2935,0.137873,0.102815,0.192906,1,0.174499,0.186507,0.190204,0.215765,0.145519,0.174799,0.13204,0.242144,0.180754,0.253545,0.14358,0.231332,0.221177,0.132943,1,0.177628,1,1,1,0.0718705,0.259094,0.273621,0.184375,0.195053,0.248992,0.202636,0.140473,0.132931,0.189495,0.130178,0.0613821,0.199561,1,0.23749,0.152964,0.142066,0.247974,1,0.177421,0.200513,0.158177,0.147053,0.261301,0.206949,0.225105,0.148803,0.130174,0.259094,0.239691,0.259094,0.26226,0.226533,0.0953943,0.236167,0.123345,0.162071,0.112104,0.220171,1,0.149494,0.200399,0.209827,0.111936,0.178762,0.201282,0.158731,0.202636,0.157145,1,0.181327,0.0482048,0.246055,0.183363,0.130124,1,0.165389,0.228206,0.159077,0.137802,0.093346,0.143842,0.229759,0.118849,0.229444,0.15169,0.167319,0.180298,0.0594737,0.198422,0.112102,0.216591,0.0817059,1,0.190204,1,0.221452,0.144952,0.222683,0.123953,0.157148,1,0.246351,0.179912,0.177863,0.0370135,0.222661,0.0892342,0.212928,0.17526,0.188049,0.149866,0.199296,1,0.222904,0.247998,0.17094,0.171451,0.17815,0.18084,0.222795,0.227093,0.226421,0.193222,0.206949,0.127002,1,0.259094,0.174312,0.182918,0.198048,0.196756,0.192005,0.17711,0.150723,0.103459,0.154231,0.259094,0.177628,0.164572,0.170945,0.239691,0.204584,1,0.0963715,0.154535,0.231473,0.225153,0.0887986,0.259094,0.100684,0.175307,0.232758,0.188574,0.0907868,1,0.151027,0.139876,0.256073,0.23749,0.225153,0.192992,0.0946048,1,0.180754,0.241399,0.229352,0.193394,0.266767,0.0552693,0.22638,0.147206,0.14378,0.216891,0.188574,0.22686,0.0843575,0.150082,0.251628,0.222904,0.194141,0.220907,0.099164,0.209067,1,1,0.219377,0.1921,0.23939,0.128036,0.0508527,0.272489,0.122208,0.185124,0.186507,0.154491,0.130716,0.130523,0.169049,0.226421,0.112408,0.239691,0.151417,0.162437,0.196346,0.135802,0.228206,0.225153,0.138865,0.196346,1,0.171281,0.259094,1,0.186919,1,0.23221,0.0944986,0.0939182,0.1909,0.0794646,0.19191,1,0.167119,0.197612,0.171132,0.178843,0.102524,0.182673,0.216643,0.134463,1,0.190204,0.203795,0.225153,0.256592,0.103463
"V120",0.139575,0.165929,0.108638,0.0551532,0.103325,1,0.233194,0.132898,0.146142,0.132731,0.21086,0.185157,0.358819,1,0.120442,0.15499,0.0574097,0.103189,0.113343,0.185357,0.174552,0.130451,0.060101,0.139575,0.150897,0.273978,0.240098,0.150428,1,0.0730823,1,1,1,0.203295,0.146142,0.169415,0.134569,0.292058,0.133975,0.0882772,0.205276,0.158138,0.160748,0.155526,0.23119,0.0912171,1,0.123326,0.124716,0.156611,0.164203,1,0.222887,0.175446,0.156444,0.159599,0.235949,0.0984764,0.116077,0.149614,0.146717,0.146142,0.125385,0.146142,0.231739,0.118449,0.166727,0.0644674,0.187567,0.133281,0.175716,0.304424,1,0.143186,0.148493,0.149892,0.189237,0.151132,0.121833,0.150803,0.0882772,0.15522,1,0.115473,0.240173,0.151661,0.120282,0.169899,1,0.212706,0.118979,0.158892,0.144122,0.235128,0.181118,0.171574,0.206305,0.247122,0.154059,0.252405,0.10033,0.241295,0.0929429,0.189087,0.0390317,0.207826,1,0.0574097,1,0.111636,0.146223,0.227916,0.219104,0.155181,1,0.235332,0.160981,0.0717081,0.220048,0.0057764,0.215746,0.152794,0.14365,0.0867905,0.122868,0.149597,1,0.114018,0.156523,0.140852,0.139905,0.0660323,0.149295,0.0578352,0.379705,0.131439,0.131082,0.0984764,0.200305,1,0.146142,0.167029,0.0683502,0.166995,0.195794,0.337224,0.152301,0.152226,0.218909,0.152692,0.146142,0.0730823,0.165684,0.174438,0.125385,0.0880784,1,0.173283,0.157256,0.121767,0.108638,0.226138,0.146142,0.215305,0.151068,0.251464,0.0767375,0.21155,1,0.132662,0.141446,0.148665,0.123326,0.108638,0.0864172,0.206131,1,0.060101,0.206844,0.205546,0.280982,0.269009,0.230505,0.107854,0.169566,0.188452,0.0257567,0.0767375,0.110235,0.216056,0.15616,0.149188,0.114018,0.0708627,0.110013,0.209855,0.103325,1,1,0.141514,0.135651,0.16571,0.132899,0.220755,0.239627,0.213331,0.146734,0.15499,0.156375,0.217673,0.208396,0.136118,0.131439,0.172215,0.125385,0.146151,0.163076,0.0885548,0.190327,0.118979,0.108638,0.161401,0.0885548,1,0.158955,0.146142,1,0.210687,1,0.124886,0.193353,0.178725,0.155785,0.206108,0.156867,1,0.1719,0.0914159,0.19317,0.140626,0.173103,0.308756,0.149534,0.186256,1,0.0574097,0.284125,0.108638,0.156374,0.18753
"V121",0.309303,0.239123,0.288881,0.243239,0.256367,1,0.14858,0.193799,0.315448,0.300749,0.135795,0.163946,0.262852,1,0.162367,0.251215,0.270236,0.275989,0.219653,0.163451,0.155154,0.298849,0.259086,0.309303,0.197362,0.22125,0.271904,0.173144,1,0.248482,1,1,1,0.193531,0.315448,0.331778,0.150928,0.283278,0.289281,0.267182,0.242605,0.174568,0.234408,0.177762,0.199483,0.258509,1,0.296912,0.223905,0.175404,0.30197,1,0.272071,0.225055,0.185327,0.183237,0.309683,0.282375,0.285942,0.18862,0.192764,0.315448,0.298635,0.315448,0.311056,0.274186,0.186587,0.214874,0.153888,0.233061,0.162891,0.248055,1,0.194674,0.256643,0.269017,0.161125,0.146873,0.174011,0.221005,0.267182,0.219239,1,0.195844,0.151663,0.304551,0.158736,0.162531,1,0.137168,0.28837,0.182163,0.200927,0.193889,0.114558,0.266358,0.216139,0.241265,0.179025,0.248105,0.18188,0.135366,0.254961,0.17021,0.232094,0.189654,1,0.270236,1,0.277001,0.193852,0.268238,0.26572,0.183841,1,0.268622,0.205517,0.244548,0.175936,0.241949,0.105601,0.271446,0.230521,0.195811,0.224147,0.257567,1,0.284219,0.248949,0.226865,0.225591,0.260556,0.216201,0.217215,0.301769,0.294811,0.164206,0.282375,0.16364,1,0.315448,0.199851,0.260822,0.229392,0.151745,0.199389,0.204242,0.185723,0.14468,0.227974,0.315448,0.248482,0.19434,0.196368,0.298635,0.265459,1,0.170422,0.194526,0.26966,0.288881,0.189649,0.315448,0.177966,0.226841,0.243617,0.267789,0.134515,1,0.210557,0.196865,0.312961,0.296912,0.288881,0.261577,0.116347,1,0.259086,0.23024,0.239588,0.272224,0.250776,0.198656,0.285361,0.173379,0.167791,0.242276,0.267789,0.290218,0.18905,0.19145,0.292267,0.284219,0.242723,0.280867,0.19526,0.256367,1,1,0.211585,0.153603,0.235161,0.191101,0.181518,0.266904,0.212606,0.224205,0.251215,0.183031,0.151043,0.156438,0.220936,0.294811,0.164325,0.298635,0.1883,0.188307,0.274073,0.162879,0.28837,0.288881,0.180647,0.274073,1,0.214735,0.315448,1,0.239575,1,0.265414,0.172753,0.177714,0.240681,0.200162,0.239479,1,0.099754,0.260232,0.211395,0.173117,0.167248,0.292348,0.195402,0.175258,1,0.270236,0.291962,0.288881,0.311876,0.140911
"V122",0.100462,0.0293905,0.085924,0.127451,0.0764981,1,0.255924,0.0835643,0.109679,0.21909,0.120711,0.171825,0.273846,1,0.135577,0.049252,0.0976241,0.0499349,0.0806735,0.114844,0.214042,0.183272,0.113505,0.100462,0.0810032,0.244066,0.162935,0.109804,1,0.102787,1,1,1,0.178357,0.109679,0.111508,0.15048,0.284762,0.09048,0.0659517,0.11886,0.115007,0.0684583,0.111987,0.179066,0.0741754,1,0.0794648,0.0512052,0.0864367,0.0916178,1,0.133386,0.0817831,0.0718061,0.0745451,0.118694,0.0845465,0.0930836,0.0890108,0.0921629,0.109679,0.082125,0.109679,0.118525,0.101889,0.133434,0.1214,0.116739,0.0438708,0.123861,0.330431,1,0.100636,0.0610674,0.0510808,0.143213,0.121642,0.0834059,0.0463822,0.0659517,0.0611186,1,0.100924,0.214098,0.127409,0.135275,0.135631,1,0.143773,0.0968329,0.115544,0.0989991,0.129799,0.168596,0.0548301,0.121431,0.166782,0.108343,0.209847,0.162284,0.210967,0.0768645,0.177131,0.139582,0.146568,1,0.0976241,1,0.0963717,0.0841849,0.129718,0.213368,0.0707251,1,0.148782,0.0795008,0.110036,0.172357,0.156875,0.180341,0.0548301,0.0235882,0.12556,0.0577515,0.0601633,1,0.0904235,0.0720133,0.0281506,0.0297115,0.0987901,0.0391012,0.117137,0.300693,0.138687,0.112127,0.0845465,0.135472,1,0.109679,0.0606715,0.0915197,0.075792,0.167844,0.262213,0.056245,0.0913822,0.189155,0.0541427,0.109679,0.102787,0.0644068,0.0780285,0.082125,0.0675455,1,0.124339,0.0661478,0.104291,0.085924,0.234253,0.109679,0.126569,0.0280862,0.156179,0.0883823,0.177837,1,0.0662973,0.0667748,0.161908,0.0794648,0.085924,0.0732069,0.171186,1,0.113505,0.229272,0.242503,0.213507,0.287578,0.195859,0.0893118,0.106304,0.0940679,0.149725,0.0883823,0.0840705,0.130139,0.0869123,0.153582,0.0904235,0.129921,0.0944286,0.118725,0.0764981,1,1,0.095619,0.152558,0.0888563,0.0863066,0.192322,0.258633,0.0918257,0.0310101,0.049252,0.0943018,0.109185,0.115413,0.0354878,0.138687,0.120612,0.082125,0.0865564,0.0799914,0.0717276,0.0976366,0.0968329,0.085924,0.106642,0.0717276,1,0.0662447,0.109679,1,0.156093,1,0.106041,0.199074,0.135594,0.0643286,0.157094,0.0651459,1,0.176951,0.0725816,0.104535,0.173961,0.126867,0.249292,0.110304,0.0976284,1,0.0976241,0.198856,0.085924,0.129622,0.148776
"V123",0.100462,0.0293905,0.085924,0.127451,0.0764981,1,0.255924,0.0835643,0.109679,0.21909,0.120711,0.171825,0.273846,1,0.135577,0.049252,0.0976241,0.0499349,0.0806735,0.114844,0.214042,0.183272,0.113505,0.100462,0.0810032,0.244066,0.162935,0.109804,1,0.102787,1,1,1,0.178357,0.109679,0.111508,0.15048,0.284762,0.09048,0.0659517,0.11886,0.115007,0.0684583,0.111987,0.179066,0.0741754,1,0.0794648,0.0512052,0.0864367,0.0916178,1,0.133386,0.0817831,0.0718061,0.0745451,0.118694,0.0845465,0.0930836,0.0890108,0.0921629,0.109679,0.082125,0.109679,0.118525,0.101889,0.133434,0.1214,0.116739,0.0438708,0.123861,0.330431,1,0.100636,0.0610674,0.0510808,0.143213,0.121642,0.0834059,0.0463822,0.0659517,0.0611186,1,0.100924,0.214098,0.127409,0.135275,0.135631,1,0.143773,0.0968329,0.115544,0.0989991,0.129799,0.168596,0.0548301,0.121431,0.166782,0.108343,0.209847,0.162284,0.210967,0.0768645,0.177131,0.139582,0.146568,1,0.0976241,1,0.0963717,0.0841849,0.129718,0.213368,0.0707251,1,0.148782,0.0795008,0.110036,0.172357,0.156875,0.180341,0.0548301,0.0235882,0.12556,0.0577515,0.0601633,1,0.0904235,0.0720133,0.0281506,0.0297115,0.0987901,0.0391012,0.117137,0.300693,0.138687,0.112127,0.0845465,0.135472,1,0.109679,0.0606715,0.0915197,0.075792,0.167844,0.262213,0.056245,0.0913822,0.189155,0.0541427,0.109679,0.102787,0.0644068,0.0780285,0.082125,0.0675455,1,0.124339,0.0661478,0.104291,0.085924,0.234253,0.109679,0.126569,0.0280862,0.156179,0.0883823,0.177837,1,0.0662973,0.0667748,0.161908,0.0794648,0.085924,0.0732069,0.171186,1,0.113505,0.229272,0.242503,0.213507,0.287578,0.195859,0.0893118,0.106304,0.0940679,0.149725,0.0883823,0.0840705,0.130139,0.0869123,0.153582,0.0904235,0.129921,0.0944286,0.118725,0.0764981,1,1,0.095619,0.152558,0.0888563,0.0863066,0.192322,0.258633,0.0918257,0.0310101,0.049252,0.0943018,0.109185,0.115413,0.0354878,0.138687,0.120612,0.082125,0.0865564,0.0799914,0.0717276,0.0976366,0.0968329,0.085924,0.106642,0.0717276,1,0.0662447,0.109679,1,0.156093,1,0.106041,0.199074,0.135594,0.0643286,0.157094,0.0651459,1,0.176951,0.0725816,0.104535,0.173961,0.126867,0.249292,0.110304,0.0976284,1,0.0976241,0.198856,0.085924,0.129622,0.148776
"V124",0.203869,0.149692,0.178829,0.108696,0.167476,1,0.190629,0.0887297,0.210436,0.165763,0.169489,0.138935,0.329345,1,0.0560981,0.132482,0.133477,0.171786,0.0651584,0.13577,0.139402,0.174658,0.114877,0.203869,0.124298,0.22446,0.201431,0.0986565,1,0.133206,1,1,1,0.163236,0.210436,0.222894,0.0599525,0.245005,0.200315,0.160704,0.197263,0.117792,0.133224,0.122465,0.19778,0.149762,1,0.189813,0.101465,0.107914,0.192374,1,0.231473,0.147537,0.109361,0.11218,0.225826,0.167357,0.173327,0.100903,0.10296,0.210436,0.191598,0.210436,0.228982,0.181075,0.126227,0.130051,0.144941,0.111297,0.128661,0.237158,1,0.0912044,0.13617,0.151872,0.141619,0.107353,0.0682046,0.123689,0.160704,0.145548,1,0.0531252,0.201427,0.194378,0.0527373,0.123483,1,0.166785,0.175844,0.109876,0.0867775,0.212241,0.118742,0.170188,0.182441,0.202047,0.103831,0.222955,0.0459613,0.202171,0.149371,0.138389,0.0955229,0.166942,1,0.133477,1,0.171275,0.0947745,0.189255,0.190676,0.108059,1,0.206522,0.150222,0.127051,0.182873,0.0907439,0.174353,0.154389,0.115593,0.0179369,0.0985947,0.137126,1,0.171542,0.133702,0.111472,0.110962,0.139947,0.120352,0.117545,0.345482,0.179304,0.0722948,0.167357,0.156286,1,0.210436,0.122396,0.143196,0.14004,0.157801,0.301307,0.119072,0.101116,0.171613,0.121899,0.210436,0.133206,0.125054,0.165696,0.191598,0.158918,1,0.143885,0.115424,0.180892,0.178829,0.176415,0.210436,0.184906,0.134409,0.207064,0.15037,0.16473,1,0.0818571,0.102563,0.200175,0.189813,0.178829,0.150326,0.165407,1,0.114877,0.141322,0.143497,0.246091,0.21211,0.20688,0.175181,0.1335,0.162104,0.0774353,0.15037,0.180214,0.180988,0.122416,0.202156,0.171542,0.126019,0.168069,0.170783,0.167476,1,1,0.110578,0.0605233,0.139665,0.0854364,0.190182,0.168085,0.181419,0.129788,0.132482,0.104148,0.189015,0.186688,0.101904,0.179304,0.126083,0.191598,0.107304,0.118233,0.158753,0.147582,0.175844,0.178829,0.107139,0.158753,1,0.145682,0.210436,1,0.16058,1,0.182044,0.137645,0.129827,0.133207,0.180372,0.133124,1,0.117122,0.151547,0.170297,0.0957493,0.130857,0.276669,0.104052,0.145733,1,0.133477,0.25814,0.178829,0.197423,0.142685
